datetime,temperature,pressure,humidity,wind_speed,wind_deg,summary
2021-07-04T08:10:39.000Z,30.5,1003,4,1.71,301,Clear
2021-07-04T08:15:05.000Z,30.5,1003,3,2.63,293,Clear
2021-07-04T12:15:08.000Z,32.72,1001,0,1.56,264,Clear
2021-07-04T16:15:06.000Z,24.94,1004,0,2.69,210,Clear
2021-07-04T20:15:06.000Z,22.94,1005,2,0.31,89,Clear
2021-07-05T00:15:08.000Z,21.75,1006,87,1.36,24,Rain
2021-07-05T04:15:06.000Z,27.81,1007,100,0.92,61,Clouds
2021-07-05T08:15:07.000Z,31.94,1004,69,2.68,172,Clouds
2021-07-05T12:15:08.000Z,24.94,1000,92,4.06,154,Clouds
2021-07-05T16:15:06.000Z,22.72,1004,100,5.01,310,Rain
2021-07-05T20:15:07.000Z,20.94,1006,100,1.65,51,Clouds
2021-07-06T00:15:08.000Z,20.69,1005,88,1.49,349,Rain
2021-07-06T04:15:08.000Z,22.94,1006,1,0.73,317,Clear
2021-07-06T08:15:06.000Z,26.94,1003,1,1.87,175,Clear
2021-07-06T12:15:09.000Z,28.87,1002,76,3.33,184,Clouds
2021-07-06T16:15:07.000Z,25.94,1004,1,1.63,172,Rain
2021-07-06T20:15:07.000Z,22.81,1005,53,0.65,104,Clouds
2021-07-07T00:15:09.000Z,22.81,1005,88,1.37,5,Clouds
2021-07-07T04:15:04.000Z,27.94,1006,18,0.52,55,Clouds
2021-07-07T08:15:05.000Z,30.94,1004,32,1.56,166,Rain
2021-07-07T12:15:08.000Z,33.76,1003,34,4.32,358,Clouds
2021-07-07T16:15:07.000Z,26.94,1004,100,0.73,5,Rain
2021-07-07T20:15:08.000Z,24.47,1004,45,0.61,351,Rain
2021-07-08T00:15:08.000Z,22.26,1004,6,0.47,97,Clear
2021-07-08T04:15:09.000Z,27.94,1004,0,0.21,77,Clear
2021-07-08T08:15:07.000Z,32.94,1002,3,1.71,175,Clear
2021-07-08T12:15:05.000Z,32.05,1002,76,0.18,304,Clouds
2021-07-08T16:15:07.000Z,24.89,1003,13,1.53,350,Clouds
2021-07-08T20:15:05.000Z,22.89,1003,19,0.39,83,Clouds
2021-07-09T00:15:07.000Z,21.8,1002,100,1.69,53,Clouds
2021-07-09T04:15:07.000Z,26.94,1002,67,2.05,44,Clouds
2021-07-09T08:15:07.000Z,30.69,1001,48,1.4,123,Clouds
2021-07-09T12:15:07.000Z,31.61,999,73,1.71,204,Clouds
2021-07-09T16:15:09.000Z,28.94,1001,0,0.17,19,Clear
2021-07-09T20:15:11.000Z,25.97,1001,1,1.62,36,Clear
2021-07-10T00:15:07.000Z,23.94,1003,28,1.05,17,Clouds
2021-07-10T04:15:07.000Z,26.94,1003,77,1.28,58,Clouds
2021-07-10T08:15:06.000Z,34.31,1002,95,2.53,166,Clouds
2021-07-10T12:15:06.000Z,33.76,999,90,2.29,143,Clouds
2021-07-10T16:15:06.000Z,29.79,1003,100,3.86,151,Rain
2021-07-10T20:15:08.000Z,27.81,1004,84,1.75,106,Rain
2021-07-11T00:15:10.000Z,25.54,1004,85,1.32,72,Clouds
2021-07-11T04:15:07.000Z,28.96,1005,100,2.18,133,Clouds
2021-07-11T08:15:07.000Z,31.54,1003,100,3.02,204,Rain
2021-07-11T12:15:08.000Z,29.94,1000,95,3.73,196,Clouds
2021-07-11T16:15:10.000Z,27.94,1004,100,4.35,212,Rain
2021-07-11T20:15:05.000Z,23.18,1003,100,3.15,102,Rain
2021-07-12T00:15:07.000Z,21.63,1001,100,3.95,87,Rain
2021-07-12T04:15:07.000Z,22.4,999,100,5.45,83,Rain
2021-07-12T08:15:06.000Z,22.57,997,100,5.08,94,Rain
2021-07-12T12:15:07.000Z,23.98,995,95,2.14,7,Rain
2021-07-12T16:15:09.000Z,23.13,996,99,3.88,60,Rain
2021-07-12T20:15:11.000Z,23.55,996,100,1.94,358,Rain
2021-07-13T00:15:13.000Z,23.03,996,99,2.27,8,Clouds
2021-07-13T04:15:07.000Z,24.63,996,86,1.5,349,Clouds
2021-07-13T08:15:07.000Z,27.81,996,75,1.38,314,Rain
2021-07-13T12:15:08.000Z,30.45,995,46,0.96,228,Rain
2021-07-13T16:15:08.000Z,26.79,997,14,0.39,101,Rain
2021-07-13T20:15:10.000Z,25.97,999,22,2.31,53,Rain
2021-07-14T00:15:07.000Z,24.9,1000,41,1.54,52,Clouds
2021-07-14T04:15:09.000Z,25.71,1002,98,1.65,82,Rain
2021-07-14T08:15:07.000Z,32.65,1001,59,1.64,136,Clouds
2021-07-14T12:15:06.000Z,32.43,1001,86,3.09,170,Rain
2021-07-14T16:15:10.000Z,28.55,1004,79,2.32,89,Clouds
2021-07-14T20:15:07.000Z,26.38,1007,61,1.76,118,Rain
2021-07-15T00:15:10.000Z,25.86,1007,100,1.4,102,Clouds
2021-07-15T04:15:12.000Z,27.94,1008,96,1.48,76,Clouds
2021-07-15T08:15:06.000Z,31.65,1007,88,1.21,107,Rain
2021-07-15T12:15:06.000Z,32.57,1007,73,3.51,108,Clouds
2021-07-15T16:15:08.000Z,28.03,1009,97,1.86,115,Rain
2021-07-15T20:15:08.000Z,26.63,1010,97,2.24,115,Rain
2021-07-16T00:15:08.000Z,25.56,1010,74,1.69,111,Clouds
2021-07-16T04:15:07.000Z,27.88,1011,97,1.61,114,Clouds
2021-07-16T08:15:06.000Z,32.09,1008,95,2.06,100,Clouds
2021-07-16T12:15:07.000Z,30.69,1007,100,3.98,97,Clouds
