datetime,temperature,pressure,humidity,wind_speed,wind_deg,summary
2021-07-04T08:10:41.000Z,11.41,1024,93,0.45,293,Clouds
2021-07-04T08:15:06.000Z,11.83,1025,93,4.45,273,Clouds
2021-07-04T12:15:11.000Z,13.83,1028,95,0.89,315,Rain
2021-07-04T16:15:08.000Z,14.83,1027,34,2.24,293,Clouds
2021-07-04T20:15:08.000Z,12.2,1029,16,0.45,248,Clouds
2021-07-05T00:15:10.000Z,9.69,1030,11,0.13,355,Clouds
2021-07-05T04:15:08.000Z,9.04,1030,89,2.04,27,Clouds
2021-07-05T08:15:09.000Z,9.72,1031,86,1.57,42,Clouds
2021-07-05T12:15:10.000Z,14.87,1032,12,0.45,90,Clouds
2021-07-05T16:15:08.000Z,17.19,1029,3,0.89,180,Clear
2021-07-05T20:15:09.000Z,13.47,1028,4,2.64,169,Clear
2021-07-06T00:15:10.000Z,11.66,1027,36,2.64,161,Clouds
2021-07-06T04:15:11.000Z,10.64,1025,67,2.08,147,Clouds
2021-07-06T08:15:08.000Z,8.18,1024,0,2.06,170,Clear
2021-07-06T12:15:11.000Z,14.6,1026,0,0.89,0,Clear
2021-07-06T16:15:09.000Z,16.97,1023,60,0.89,203,Clouds
2021-07-06T20:15:09.000Z,11.42,1023,13,0.89,293,Clouds
2021-07-07T00:15:11.000Z,11.52,1024,2,1.34,225,Clear
2021-07-07T04:15:06.000Z,11.69,1022,7,1.79,270,Clear
2021-07-07T08:15:07.000Z,9.16,1020,0,0.89,270,Clear
2021-07-07T12:15:11.000Z,14.41,1020,0,1.03,0,Clear
2021-07-07T16:15:09.000Z,19.98,1015,97,1.16,357,Clouds
2021-07-07T20:15:10.000Z,14.03,1015,77,1.45,331,Clouds
2021-07-08T00:15:11.000Z,11.01,1013,4,2.54,345,Clear
2021-07-08T04:15:11.000Z,9.83,1012,0,5.01,355,Clear
2021-07-08T08:15:09.000Z,12.31,1011,9,1.79,158,Clear
2021-07-08T12:15:06.000Z,13.79,1011,75,2.24,180,Rain
2021-07-08T16:15:09.000Z,12.83,1009,90,3.13,248,Rain
2021-07-08T20:15:06.000Z,11.95,1018,100,2.68,225,Rain
2021-07-09T00:15:09.000Z,12.76,1022,7,1.34,293,Clear
2021-07-09T04:15:09.000Z,10.86,1025,33,0.45,225,Rain
2021-07-09T08:15:09.000Z,9.03,1025,35,3.1,330,Clouds
2021-07-09T12:15:08.000Z,12.9,1027,99,1.34,90,Rain
2021-07-09T16:15:12.000Z,14.91,1025,100,1.34,135,Clouds
2021-07-09T20:15:14.000Z,13.18,1024,82,1.34,338,Clouds
2021-07-10T00:15:09.000Z,12,1024,88,1.34,338,Clouds
2021-07-10T04:15:09.000Z,10.87,1024,98,0.89,45,Clouds
2021-07-10T08:15:08.000Z,10.33,1023,62,1.79,90,Clouds
2021-07-10T12:15:08.000Z,15.26,1025,13,1.34,90,Clouds
2021-07-10T16:15:08.000Z,16.48,1022,0,5.04,337,Clear
2021-07-10T20:15:10.000Z,13.18,1023,0,0.45,270,Clear
2021-07-11T00:15:13.000Z,10.86,1022,0,3.24,356,Clear
2021-07-11T04:15:08.000Z,8.92,1022,0,0.45,68,Clear
2021-07-11T08:15:09.000Z,8.38,1021,1,0.45,248,Clear
2021-07-11T12:15:10.000Z,14.85,1020,0,0.89,45,Clear
2021-07-11T16:15:12.000Z,16.3,1018,3,0.45,180,Clear
2021-07-11T20:15:07.000Z,12.72,1017,2,0.89,158,Clear
2021-07-12T00:15:09.000Z,12.56,1016,53,1.34,113,Clouds
2021-07-12T04:15:09.000Z,11.73,1014,100,6.03,9,Clouds
2021-07-12T08:15:08.000Z,12.17,1011,100,2.68,90,Rain
2021-07-12T12:15:09.000Z,11.29,1013,75,1.34,225,Rain
2021-07-12T16:15:11.000Z,11.25,1014,100,2.24,270,Rain
2021-07-12T20:15:12.000Z,10.87,1018,88,4.47,248,Rain
2021-07-13T00:15:15.000Z,9.06,1022,91,2.68,248,Rain
2021-07-13T04:15:09.000Z,8.38,1025,100,2.68,248,Rain
2021-07-13T08:15:08.000Z,7.67,1028,40,0.89,248,Rain
2021-07-13T12:15:11.000Z,12.5,1032,61,0.45,248,Rain
2021-07-13T16:15:10.000Z,14.62,1031,86,1.34,180,Clouds
2021-07-13T20:15:12.000Z,9.57,1032,55,0.45,248,Clouds
2021-07-14T00:15:08.000Z,7.39,1032,42,1.82,11,Clouds
2021-07-14T04:15:11.000Z,6.96,1033,60,3.17,1,Clouds
2021-07-14T08:15:09.000Z,8.73,1033,47,1.34,23,Clouds
2021-07-14T12:15:07.000Z,12.02,1033,75,0.45,90,Clouds
2021-07-14T16:15:12.000Z,14.9,1031,42,0.89,135,Clouds
2021-07-14T20:15:09.000Z,11.22,1030,85,3.35,337,Clouds
2021-07-15T00:15:12.000Z,9.15,1030,66,2.4,352,Clouds
2021-07-15T04:15:15.000Z,6.43,1029,0,2.24,2,Clear
2021-07-15T08:15:08.000Z,7.56,1028,0,3.6,40,Clear
2021-07-15T12:15:08.000Z,14.31,1030,3,2.06,358,Clear
2021-07-15T16:15:09.000Z,17.13,1028,0,1.54,326,Clear
2021-07-15T20:15:09.000Z,13,1028,0,0.47,329,Clear
2021-07-16T00:15:10.000Z,8.23,1028,0,0.64,32,Clear
2021-07-16T04:15:09.000Z,11.18,1027,0,0.86,106,Clear
2021-07-16T08:15:07.000Z,10.62,1027,0,1.07,81,Clear
2021-07-16T12:15:09.000Z,16.05,1027,0,1.03,0,Clear
2021-07-16T16:15:12.000Z,20.52,1024,0,1.5,256,Clear
2021-07-16T20:15:08.000Z,12.88,1024,0,0.48,326,Clear
2021-07-17T00:15:12.000Z,8.68,1026,0,2.57,80,Mist
2021-07-17T04:15:08.000Z,11.73,1026,0,0.93,70,Clear
2021-07-17T08:15:10.000Z,11.8,1027,0,0.46,95,Clear
2021-07-17T12:15:10.000Z,17.55,1029,0,0.45,113,Clear
2021-07-17T16:15:11.000Z,18.99,1026,0,3.33,184,Clear
2021-07-17T20:15:10.000Z,14.53,1027,75,4.12,190,Clouds
2021-07-18T00:15:11.000Z,12.53,1028,2,0.89,225,Clear
2021-07-18T04:15:09.000Z,10.34,1025,2,1.56,96,Clear
2021-07-18T08:15:07.000Z,8.95,1023,0,2.05,39,Clear
2021-07-18T12:15:12.000Z,19.24,1023,0,0.89,338,Clear
2021-07-18T16:15:08.000Z,23.38,1020,1,3.28,343,Clear
2021-07-18T20:15:07.000Z,17.61,1019,1,2.46,325,Clear
2021-07-19T00:15:11.000Z,14.97,1020,94,1.76,329,Clouds
2021-07-19T04:15:08.000Z,11.49,1019,73,0.45,225,Clouds
2021-07-19T08:15:11.000Z,9.36,1018,41,2.57,90,Fog
2021-07-19T12:15:08.000Z,16.75,1021,0,4.12,40,Clear
2021-07-19T16:15:16.000Z,14.03,1021,90,0.89,203,"Drizzle, Rain"
2021-07-19T20:15:10.000Z,12.1,1022,100,1.79,293,Rain
2021-07-20T00:15:13.000Z,11.67,1023,100,0.89,225,Rain
2021-07-20T04:15:09.000Z,11.62,1022,100,1.34,270,Rain
2021-07-20T08:15:12.000Z,11.31,1024,100,1.79,225,Rain
2021-07-20T12:15:08.000Z,12.38,1026,60,1.34,248,Rain
2021-07-20T16:15:12.000Z,14.08,1026,75,2.24,248,Rain
2021-07-20T20:15:11.000Z,10,1027,17,0.45,248,Rain
2021-07-21T00:15:09.000Z,8.91,1028,71,2.68,315,Rain
2021-07-21T04:15:10.000Z,9.81,1028,49,1.79,270,Clouds
2021-07-21T08:15:11.000Z,10.76,1027,70,2.68,315,Rain
2021-07-21T12:15:10.000Z,13.56,1027,75,3.58,225,Rain
2021-07-21T16:15:11.000Z,11.1,1028,98,4.02,248,Rain
2021-07-21T20:15:08.000Z,9.99,1031,99,5.74,218,Rain
2021-07-22T00:15:10.000Z,7.87,1034,74,0.89,293,Clouds
2021-07-22T04:15:09.000Z,9.44,1034,21,3.8,188,Clouds
2021-07-22T08:15:11.000Z,7.71,1036,68,0.89,248,Clouds
2021-07-22T12:15:08.000Z,12.44,1038,74,0.89,158,Clouds
2021-07-22T16:15:10.000Z,12.67,1037,64,0.89,248,Clouds
2021-07-22T20:15:11.000Z,10.09,1038,34,0.89,293,Clouds
2021-07-23T00:15:12.000Z,8.41,1037,37,4.67,129,Clouds
2021-07-23T04:15:09.000Z,7.03,1038,0,1.34,270,Clear
2021-07-23T08:15:11.000Z,7.22,1038,0,1.34,270,Clear
2021-07-23T12:15:09.000Z,11.22,1037,0,1.88,78,Clear
2021-07-23T16:15:11.000Z,16.03,1034,0,1.08,123,Clear
