datetime,temperature,pressure,humidity,wind_speed,wind_deg,summary
2021-07-04T08:10:47.000Z,7.01,1018,0,0.34,25,Clear
2021-07-04T08:15:14.000Z,7.01,1018,0,0.25,44,Clear
2021-07-04T12:15:22.000Z,6.46,1017,12,0.33,73,Clouds
2021-07-04T16:15:14.000Z,6.46,1018,16,0.83,273,Clouds
2021-07-04T20:15:16.000Z,9.23,1017,3,3.96,249,Clear
2021-07-05T00:15:20.000Z,8.68,1015,0,2.92,248,Clear
2021-07-05T04:15:16.000Z,7.57,1018,0,0.27,203,Clear
2021-07-05T08:15:16.000Z,7.01,1018,1,0.27,59,Clear
2021-07-05T12:15:20.000Z,6.46,1017,11,0.49,92,Clouds
2021-07-05T16:15:14.000Z,7.01,1018,2,0.57,283,Clear
2021-07-05T20:15:17.000Z,8.12,1017,1,3.74,254,Clear
2021-07-06T00:15:19.000Z,9.23,1016,0,2.87,250,Clear
2021-07-06T04:15:20.000Z,7.57,1019,1,0.39,227,Clear
2021-07-06T08:15:16.000Z,7.01,1018,1,0.06,31,Clear
2021-07-06T12:15:20.000Z,6.46,1017,18,0.43,39,Clouds
2021-07-06T16:15:17.000Z,7.01,1017,0,0.44,260,Clear
2021-07-06T20:15:16.000Z,8.68,1015,0,3.83,250,Clear
2021-07-07T00:15:20.000Z,8.68,1013,0,2.96,253,Clear
2021-07-07T04:15:11.000Z,7.01,1015,1,0.38,281,Clear
2021-07-07T08:15:14.000Z,7.01,1015,11,0.18,87,Clouds
2021-07-07T12:15:20.000Z,6.46,1014,78,0.62,340,Clouds
2021-07-07T16:15:17.000Z,7.01,1015,3,0.95,272,Clear
2021-07-07T20:15:18.000Z,8.12,1014,4,3.42,254,Clear
2021-07-08T00:15:20.000Z,8.68,1012,0,3,254,Clear
2021-07-08T04:15:22.000Z,7.01,1014,1,0.42,312,Clear
2021-07-08T08:15:17.000Z,7.01,1015,5,0.5,34,Clear
2021-07-08T12:15:12.000Z,7.01,1014,14,0.39,2,Clouds
2021-07-08T16:15:17.000Z,7.01,1016,47,0.75,282,Clouds
2021-07-08T20:15:11.000Z,10.9,1015,10,3.6,247,Clear
2021-07-09T00:15:16.000Z,10.34,1013,0,3.18,248,Clear
2021-07-09T04:15:15.000Z,7.57,1016,1,0.77,234,Clear
2021-07-09T08:15:16.000Z,7.01,1016,19,0.43,33,Clouds
2021-07-09T12:15:17.000Z,6.46,1015,13,0.4,14,Clouds
2021-07-09T16:15:20.000Z,7.01,1018,1,0.63,272,Clear
2021-07-09T20:15:24.000Z,8.68,1016,0,3.97,247,Clear
2021-07-10T00:15:15.000Z,8.12,1014,0,3.75,248,Clear
2021-07-10T04:15:15.000Z,7.57,1016,1,0.61,239,Clear
2021-07-10T08:15:14.000Z,6.46,1017,12,0.8,33,Clouds
2021-07-10T12:15:14.000Z,6.46,1015,6,0.7,24,Clear
2021-07-10T16:15:13.000Z,6.46,1016,1,0.36,303,Clear
2021-07-10T20:15:18.000Z,8.12,1013,3,4.05,252,Clear
2021-07-11T00:15:24.000Z,8.12,1011,18,2.63,251,Clouds
