datetime,temperature,pressure,humidity,wind_speed,wind_deg,summary
2021-07-04T08:10:44.000Z,15.56,1010,90,1.03,0,Clouds
2021-07-04T08:15:10.000Z,15.87,1009,75,3.09,180,Clouds
2021-07-04T12:15:16.000Z,17.37,1008,40,3.09,200,Clouds
2021-07-04T16:15:11.000Z,20.29,1007,75,4.63,190,Clouds
2021-07-04T20:15:12.000Z,18.19,1006,40,6.69,210,Clouds
2021-07-05T00:15:15.000Z,15.39,1007,75,6.17,230,Clouds
2021-07-05T04:15:12.000Z,14.71,1007,100,3.72,219,Clouds
2021-07-05T08:15:13.000Z,13.91,1006,20,3.09,230,Clouds
2021-07-05T12:15:16.000Z,17.99,1006,40,4.63,250,Clouds
2021-07-05T16:15:11.000Z,20.43,1005,40,4.12,230,Clouds
2021-07-05T20:15:13.000Z,17.99,1004,99,4.63,180,Clouds
2021-07-06T00:15:14.000Z,14.23,1001,90,4.63,110,Clouds
2021-07-06T04:15:15.000Z,14.85,997,40,4.12,190,Rain
2021-07-06T08:15:12.000Z,13.36,995,75,5.66,150,Rain
2021-07-06T12:15:16.000Z,15.41,995,90,5.66,240,Rain
2021-07-06T16:15:13.000Z,17.56,1002,75,11.83,250,Clouds
2021-07-06T20:15:12.000Z,16.56,1005,40,6.17,220,Rain
2021-07-07T00:15:16.000Z,13.87,1007,36,4.63,220,Clouds
2021-07-07T04:15:08.000Z,13.2,1008,100,4.12,230,Clouds
2021-07-07T08:15:11.000Z,14.47,1009,90,3.6,220,Clouds
2021-07-07T12:15:15.000Z,17.16,1011,75,5.14,220,Clouds
2021-07-07T16:15:13.000Z,19.43,1013,20,6.17,220,Clouds
2021-07-07T20:15:14.000Z,19.65,1014,20,5.66,210,Clouds
2021-07-08T00:15:15.000Z,15.5,1016,1,3.42,204,Clear
2021-07-08T04:15:17.000Z,14.14,1018,90,3.09,210,Clouds
2021-07-08T08:15:13.000Z,14.35,1018,79,2.57,220,Clouds
2021-07-08T12:15:09.000Z,18.34,1020,75,3.09,250,Clouds
2021-07-08T16:15:13.000Z,20.03,1020,65,5.66,250,Clouds
2021-07-08T20:15:08.000Z,19.64,1020,82,3.6,200,Clouds
2021-07-09T00:15:13.000Z,17.03,1021,25,1.81,240,Clouds
2021-07-09T04:15:12.000Z,15.46,1021,8,1.83,239,Clear
2021-07-09T08:15:12.000Z,15.21,1021,16,2.57,210,Clouds
2021-07-09T12:15:13.000Z,19.16,1021,60,3.09,220,Clouds
2021-07-09T16:15:16.000Z,22.7,1020,20,4.63,250,Clouds
2021-07-09T20:15:19.000Z,21.09,1019,100,5.14,220,Clouds
2021-07-10T00:15:12.000Z,17,1019,100,2.95,236,Clouds
2021-07-10T04:15:12.000Z,14.11,1019,100,2.13,219,Clouds
2021-07-10T08:15:10.000Z,13.75,1017,75,2.57,230,Clouds
2021-07-10T12:15:11.000Z,15.88,1017,100,2.06,250,Rain
2021-07-10T16:15:10.000Z,16.64,1016,75,3.09,100,Clouds
2021-07-10T20:15:14.000Z,18.03,1015,100,1.03,0,Clouds
2021-07-11T00:15:19.000Z,15.37,1016,99,0.93,232,Clouds
2021-07-11T04:15:12.000Z,13.52,1016,98,1.31,216,Clouds
2021-07-11T08:15:12.000Z,12.32,1016,42,1.54,230,Clouds
2021-07-11T12:15:14.000Z,18.43,1016,46,2.57,230,Clouds
2021-07-11T16:15:17.000Z,20.37,1015,75,3.09,160,Clouds
2021-07-11T20:15:10.000Z,19.28,1014,75,4.12,190,Clouds
2021-07-12T00:15:12.000Z,15.37,1014,100,3.09,230,Rain
2021-07-12T04:15:13.000Z,14.5,1013,20,2.06,160,Clouds
2021-07-12T08:15:12.000Z,14.2,1012,100,2.57,60,Clouds
2021-07-12T12:15:13.000Z,16.98,1011,90,1.54,0,Clouds
2021-07-12T16:15:14.000Z,19.97,1010,75,3.6,60,Clouds
2021-07-12T20:15:15.000Z,18.05,1011,40,1.54,0,Clouds
2021-07-13T00:15:20.000Z,16.48,1012,75,2.06,360,Rain
2021-07-13T04:15:13.000Z,15.72,1012,75,2.06,300,Clouds
2021-07-13T08:15:12.000Z,15.43,1013,75,2.06,340,Haze
2021-07-13T12:15:16.000Z,17.86,1015,90,3.09,340,Clouds
2021-07-13T16:15:14.000Z,21.86,1015,75,3.09,0,Clouds
2021-07-13T20:15:17.000Z,21.91,1016,95,5.14,330,Clouds
2021-07-14T00:15:12.000Z,17.79,1017,4,1.54,0,Clear
2021-07-14T04:15:15.000Z,15.61,1017,40,2.57,280,Clouds
2021-07-14T08:15:12.000Z,14.77,1017,20,3.6,300,Clouds
2021-07-14T12:15:10.000Z,18.02,1018,90,4.12,310,Clouds
2021-07-14T16:15:17.000Z,22.1,1018,75,4.12,330,Clouds
2021-07-14T20:15:13.000Z,23.8,1022,40,4.63,330,Clouds
2021-07-15T00:15:16.000Z,19.8,1019,100,3.96,326,Clouds
2021-07-15T04:15:21.000Z,15.74,1020,19,3.09,320,Clouds
2021-07-15T08:15:11.000Z,14.47,1021,60,2.06,280,Clouds
