datetime,temperature,pressure,humidity,wind_speed,wind_deg,summary
2021-07-04T08:10:45.000Z,16.42,1011,90,0.45,100,Clouds
2021-07-04T08:15:11.000Z,16.32,1011,90,0.45,133,Clouds
2021-07-04T12:15:17.000Z,16.25,1010,90,1.79,207,Clouds
2021-07-04T16:15:12.000Z,19.33,1012,90,0.45,327,Clouds
2021-07-04T20:15:13.000Z,24.63,1012,20,0.45,128,Clouds
2021-07-05T00:15:16.000Z,25.01,1012,20,3.6,200,Clouds
2021-07-05T04:15:13.000Z,21.72,1014,1,0.45,171,Clear
2021-07-05T08:15:14.000Z,19.45,1016,1,2.06,30,Haze
2021-07-05T12:15:17.000Z,17.97,1017,1,1.54,100,Mist
2021-07-05T16:15:12.000Z,22.38,1018,1,3.09,30,Haze
2021-07-05T20:15:14.000Z,27.69,1018,40,0.45,320,Clouds
2021-07-06T00:15:15.000Z,28.25,1016,40,0.89,99,Clouds
2021-07-06T04:15:16.000Z,25.21,1016,1,0.45,96,Clear
2021-07-06T08:15:13.000Z,23.5,1017,1,2.57,250,Rain
2021-07-06T12:15:17.000Z,22.99,1016,1,0.45,103,Clear
2021-07-06T16:15:14.000Z,25.95,1016,1,0.45,118,Clear
2021-07-06T20:15:13.000Z,32.64,1015,1,4.63,260,Clear
2021-07-07T00:15:17.000Z,34.05,1011,75,0.45,107,Clouds
2021-07-07T04:15:09.000Z,22.38,1015,40,0,0,Clouds
2021-07-07T08:15:12.000Z,21.92,1015,75,2.06,260,Mist
2021-07-07T12:15:17.000Z,21.55,1014,1,4.02,202,Clear
2021-07-07T16:15:14.000Z,26.03,1015,1,0.45,73,Clear
2021-07-07T20:15:15.000Z,32.53,1014,1,0.45,63,Clear
2021-07-08T00:15:16.000Z,33.49,1013,1,0.45,49,Clear
2021-07-08T04:15:18.000Z,28.23,1012,1,3.09,290,Clear
2021-07-08T08:15:14.000Z,25.48,1013,1,2.06,260,Clear
2021-07-08T12:15:10.000Z,23.74,1014,1,0.45,32,Clear
2021-07-08T16:15:14.000Z,26.2,1015,1,0.45,71,Clear
2021-07-08T20:15:09.000Z,29.14,1015,20,0.45,107,Clouds
2021-07-09T00:15:13.000Z,24.38,1015,90,6.69,30,"Thunderstorm, Mist, Rain"
2021-07-09T04:15:12.000Z,23.16,1015,75,0.45,100,Mist
2021-07-09T08:15:13.000Z,22.38,1014,75,0.89,130,Mist
2021-07-09T12:15:14.000Z,22.48,1008,90,0.89,73,Rain
2021-07-09T16:15:17.000Z,21.85,1006,90,0.89,290,Mist
2021-07-09T20:15:20.000Z,27.3,1009,90,0.45,319,Clouds
