datetime,temperature,pressure,humidity,wind_speed,wind_deg,summary
2021-07-04T08:10:48.000Z,12.31,1023,100,2.13,176,Clouds
2021-07-04T08:15:15.000Z,11.93,1023,100,2.07,176,Clouds
2021-07-04T12:15:23.000Z,10.95,1024,100,1.86,185,Clouds
2021-07-04T16:15:15.000Z,19.53,1025,0,0.88,357,Clear
2021-07-04T20:15:17.000Z,20.76,1022,20,0.91,6,Clouds
2021-07-05T00:15:21.000Z,16.03,1023,67,1.34,160,Clouds
2021-07-05T04:15:17.000Z,12.93,1025,100,2.01,159,Clouds
2021-07-05T08:15:17.000Z,11.07,1025,71,1.66,181,Clouds
2021-07-05T12:15:21.000Z,10.62,1026,64,1.56,199,Clouds
2021-07-05T16:15:15.000Z,18.8,1027,22,0.6,331,Clouds
2021-07-05T20:15:18.000Z,20.41,1023,49,0.59,34,Clouds
2021-07-06T00:15:20.000Z,16,1024,100,1.32,134,Clouds
2021-07-06T04:15:21.000Z,12.56,1026,9,1.94,158,Clear
2021-07-06T08:15:17.000Z,12.24,1025,22,1,154,Clouds
2021-07-06T12:15:21.000Z,12.75,1024,92,0.31,53,Clouds
2021-07-06T16:15:18.000Z,17.86,1025,56,0.88,38,Clouds
2021-07-06T20:15:17.000Z,18.72,1021,46,2.21,48,Clouds
2021-07-07T00:15:21.000Z,14.37,1022,69,1.67,164,Clouds
2021-07-07T04:15:11.000Z,13.83,1023,100,1.74,167,Clouds
2021-07-07T08:15:15.000Z,11,1022,60,1.83,193,Clouds
2021-07-07T12:15:21.000Z,9.46,1022,0,1.78,202,Clear
2021-07-07T16:15:18.000Z,17.95,1023,0,0.62,315,Clear
2021-07-07T20:15:19.000Z,21.35,1020,0,1.32,18,Clear
2021-07-08T00:15:21.000Z,14.54,1021,0,1.13,160,Clear
2021-07-08T04:15:23.000Z,12.17,1022,0,2.09,162,Clear
2021-07-08T08:15:18.000Z,11.41,1021,0,1.53,172,Clear
2021-07-08T12:15:13.000Z,10.43,1021,0,1.17,195,Clear
2021-07-08T16:15:18.000Z,19.06,1022,0,1.08,3,Clear
2021-07-08T20:15:11.000Z,22.23,1019,0,1.15,11,Clear
2021-07-09T00:15:17.000Z,14.77,1020,0,1.23,150,Clear
2021-07-09T04:15:15.000Z,12.95,1022,0,2.04,159,Clear
2021-07-09T08:15:17.000Z,12.25,1021,0,1.61,182,Clear
2021-07-09T12:15:17.000Z,11.74,1021,0,1.47,194,Clear
2021-07-09T16:15:21.000Z,20.39,1022,0,0.89,324,Clear
