datetime,temperature,pressure,humidity,wind_speed,wind_deg,summary
2021-07-04T08:10:37.000Z,14.81,1018,20,1.34,305,Clouds
2021-07-04T08:15:02.000Z,14.91,1018,20,1.34,305,Clouds
2021-07-04T12:15:05.000Z,9.88,1020,0,1.34,5,Clear
2021-07-04T16:15:04.000Z,7.26,1021,0,2.68,5,Clear
2021-07-04T20:15:04.000Z,6.25,1020,0,1.79,5,Clear
2021-07-05T00:15:04.000Z,6.53,1019,0,1.34,305,Clear
2021-07-05T04:15:03.000Z,13.41,1019,0,1.34,305,Clear
2021-07-05T08:15:04.000Z,15.35,1017,0,1.34,305,Clear
2021-07-05T12:15:04.000Z,10.52,1019,0,2.24,5,Clear
2021-07-05T16:15:04.000Z,8.38,1019,0,1.34,305,Clear
2021-07-05T20:15:04.000Z,6.56,1017,0,1.34,305,Clear
2021-07-06T00:15:05.000Z,5.72,1019,40,1.34,305,Clouds
2021-07-06T04:15:05.000Z,12.1,1020,75,1.34,305,Clouds
2021-07-06T08:15:03.000Z,15.22,1018,75,1.34,305,Clouds
2021-07-06T12:15:05.000Z,9.86,1021,75,0.89,5,Clouds
2021-07-06T16:15:04.000Z,7.76,1023,40,1.79,5,Clouds
2021-07-06T20:15:04.000Z,5.77,1023,0,2.24,5,Clear
2021-07-07T00:15:06.000Z,5.27,1023,20,1.34,305,Clouds
2021-07-07T04:15:02.000Z,12.82,1024,20,1.34,305,Clouds
2021-07-07T08:15:03.000Z,15.42,1022,40,1.34,305,Clouds
2021-07-07T12:15:05.000Z,9.92,1024,10,1.34,5,Rain
2021-07-07T16:15:04.000Z,8.6,1024,20,1.34,5,Clouds
2021-07-07T20:15:05.000Z,6.3,1024,20,1.34,5,Clouds
2021-07-08T00:15:05.000Z,5.88,1025,40,1.34,5,Clouds
2021-07-08T04:15:05.000Z,12.97,1024,40,0.89,5,Clouds
2021-07-08T08:15:04.000Z,15.38,1019,75,1.34,305,Clouds
2021-07-08T12:15:03.000Z,11.46,1020,0,0.45,5,Clear
2021-07-08T16:15:04.000Z,9.28,1019,0,1.34,5,Clear
2021-07-08T20:15:03.000Z,8.69,1015,0,1.34,305,Clear
2021-07-09T00:15:05.000Z,8.9,1014,0,1.34,305,Clear
2021-07-09T04:15:05.000Z,10.74,1012,75,1.34,305,Clouds
2021-07-09T08:15:04.000Z,11.62,1010,90,1.34,305,Clouds
2021-07-09T12:15:04.000Z,10.94,1011,90,0.45,170,Clouds
2021-07-09T16:15:06.000Z,10.71,1011,75,0.89,160,Clouds
2021-07-09T20:15:06.000Z,11.12,1011,75,0.89,87,Clouds
2021-07-10T00:15:05.000Z,11.63,1014,75,0.45,193,Clouds
2021-07-10T04:15:05.000Z,13.71,1016,75,0.89,249,Clouds
2021-07-10T08:15:03.000Z,13.49,1017,75,0.45,248,Clouds
2021-07-10T12:15:04.000Z,11.45,1020,75,1.34,310,Clouds
2021-07-10T16:15:04.000Z,10.23,1022,40,0.45,321,Clouds
2021-07-10T20:15:05.000Z,10.13,1022,75,0.45,147,Clouds
2021-07-11T00:15:05.000Z,9.64,1024,75,0.89,321,Clouds
2021-07-11T04:15:04.000Z,13.74,1025,40,0.89,5,Clouds
2021-07-11T08:15:04.000Z,14.85,1023,75,0.45,277,Clouds
2021-07-11T12:15:04.000Z,11.15,1024,20,1.79,5,Clouds
2021-07-11T16:15:07.000Z,9.04,1023,0,1.79,5,Clear
2021-07-11T20:15:03.000Z,7.53,1024,40,1.79,5,Clouds
2021-07-12T00:15:04.000Z,7.7,1022,75,2.24,5,Clouds
2021-07-12T04:15:04.000Z,13.98,1024,75,1.34,5,Clouds
2021-07-12T08:15:04.000Z,16.38,1018,40,0.89,4,Clouds
2021-07-12T12:15:04.000Z,12.29,1018,65,2.24,304,Clouds
2021-07-12T16:15:06.000Z,10.55,1020,0,1.79,5,Clear
