datetime,temperature,pressure,humidity,wind_speed,wind_deg,summary
2021-07-04T08:10:36.000Z,20.62,1014,75,0.45,121,"Rain, Mist"
2021-07-04T08:15:01.000Z,20.81,1014,75,0.45,105,Rain
2021-07-04T12:15:03.000Z,20.59,1014,75,0.45,96,Mist
2021-07-04T16:15:02.000Z,20.21,1014,75,0.45,99,Mist
2021-07-04T20:15:02.000Z,20.15,1011,75,1.54,30,"Rain, Mist"
2021-07-05T00:15:03.000Z,20.27,1011,75,0.45,89,Mist
2021-07-05T04:15:02.000Z,21.54,1010,75,0.45,97,"Rain, Mist"
2021-07-05T08:15:02.000Z,23.87,1009,75,1.34,320,Rain
2021-07-05T12:15:02.000Z,25.29,1008,75,0.45,323,Clouds
2021-07-05T16:15:02.000Z,23.64,1008,75,2.06,170,Clouds
2021-07-05T20:15:03.000Z,22.78,1008,75,1.54,100,Mist
2021-07-06T00:15:03.000Z,23.1,1008,75,0.51,0,Rain
2021-07-06T04:15:03.000Z,26.29,1009,75,0.89,263,Rain
2021-07-06T08:15:02.000Z,28.38,1008,75,0.89,358,Clouds
2021-07-06T12:15:04.000Z,27.03,1008,75,0.45,144,Clouds
2021-07-06T16:15:02.000Z,24.95,1009,90,0.89,158,"Rain, Mist"
2021-07-06T20:15:02.000Z,23.93,1006,90,0.45,148,"Rain, Mist"
2021-07-07T00:15:04.000Z,24.04,1005,75,0.89,0,"Mist, Rain"
2021-07-07T04:15:01.000Z,25.8,1006,75,0.89,110,"Rain, Mist"
2021-07-07T08:15:02.000Z,29.79,1005,75,1.34,135,Clouds
2021-07-07T12:15:03.000Z,27.97,1006,75,0.89,79,Clouds
2021-07-07T16:15:02.000Z,25.72,1007,75,0.45,122,Rain
2021-07-07T20:15:03.000Z,24.47,1007,75,0.45,113,Rain
2021-07-08T00:15:04.000Z,23.77,1008,75,0.45,122,Rain
2021-07-08T04:15:03.000Z,24.29,1009,75,0.45,360,Clouds
2021-07-08T08:15:02.000Z,24.13,1008,75,2.57,90,Mist
2021-07-08T12:15:02.000Z,23.67,1007,75,3.09,100,Clouds
2021-07-08T16:15:03.000Z,23.07,1008,75,0.45,308,Mist
2021-07-08T20:15:02.000Z,22.44,1008,75,4.12,30,Drizzle
2021-07-09T00:15:03.000Z,22.54,1008,75,2.57,20,Mist
2021-07-09T04:15:02.000Z,23.44,1008,75,1.03,0,Mist
2021-07-09T08:15:03.000Z,25.07,1007,75,2.57,20,Rain
2021-07-09T12:15:02.000Z,24.76,1007,75,1.03,0,Rain
2021-07-09T16:15:03.000Z,24.36,1007,75,2.57,200,Mist
2021-07-09T20:15:04.000Z,23.83,1007,75,1.03,260,Mist
2021-07-10T00:15:03.000Z,23.91,1008,75,0.51,290,Clouds
2021-07-10T04:15:03.000Z,29.16,1008,75,0.45,103,Mist
2021-07-10T08:15:01.000Z,33.07,1007,40,1.34,5,Clouds
2021-07-10T12:15:02.000Z,29.72,1007,75,1.79,116,Clouds
2021-07-10T16:15:02.000Z,23.93,1011,75,10.29,20,Clouds
2021-07-10T20:15:03.000Z,23.89,1011,75,2.06,20,Clouds
2021-07-11T00:15:03.000Z,24.03,1011,40,0.45,342,Clouds
2021-07-11T04:15:02.000Z,27.69,1011,75,0.45,125,Clouds
2021-07-11T08:15:02.000Z,31.19,1009,20,1.34,111,Clouds
2021-07-11T12:15:03.000Z,23.4,1011,75,2.57,300,"Mist, Thunderstorm"
2021-07-11T16:15:05.000Z,23.25,1012,75,0.45,300,Clouds
