datetime,temperature,pressure,humidity,wind_speed,wind_deg,summary
2021-07-04T08:10:48.000Z,3.81,979,40,1.54,90,"Drizzle, Rain"
2021-07-04T08:15:16.000Z,2.81,981,90,8.75,230,"Drizzle, Rain"
2021-07-04T12:15:25.000Z,3.81,986,75,6.17,250,"Drizzle, Rain"
2021-07-04T16:15:15.000Z,3.81,993,75,5.14,230,"Drizzle, Rain"
2021-07-04T20:15:18.000Z,4.81,998,20,2.57,230,Clouds
2021-07-05T00:15:23.000Z,3.81,999,0,2.06,340,Clear
2021-07-05T04:15:18.000Z,2.15,999,100,4.16,1,Rain
2021-07-05T08:15:18.000Z,3.81,992,90,6.69,140,"Drizzle, Rain"
2021-07-05T12:15:23.000Z,4.6,992,100,4.23,347,Rain
2021-07-05T16:15:16.000Z,11.81,988,75,4.12,270,"Drizzle, Rain"
2021-07-05T20:15:19.000Z,4.81,990,75,9.77,230,"Drizzle, Rain"
2021-07-06T00:15:21.000Z,4.81,992,40,5.14,230,Clouds
2021-07-06T04:15:22.000Z,3.81,994,40,3.09,340,Clouds
2021-07-06T08:15:18.000Z,3.81,997,40,10.8,230,Clouds
2021-07-06T12:15:22.000Z,2.81,1000,20,9.26,230,Clouds
2021-07-06T16:15:19.000Z,2.79,1006,28,1.08,299,Clouds
2021-07-06T20:15:18.000Z,3.81,1006,40,2.06,230,Clouds
2021-07-07T00:15:22.000Z,0.81,1006,0,2.57,360,Clear
2021-07-07T04:15:12.000Z,1.81,1006,40,4.12,320,Clouds
2021-07-07T08:15:16.000Z,3.81,1003,90,8.75,320,Clouds
2021-07-07T12:15:23.000Z,3.81,1000,90,5.14,180,"Rain, Drizzle"
2021-07-07T16:15:19.000Z,4.81,994,90,7.72,20,Rain
2021-07-07T20:15:20.000Z,5.81,988,75,7.2,50,Rain
2021-07-08T00:15:22.000Z,3.81,985,75,2.57,250,Rain
2021-07-08T04:15:24.000Z,3.81,986,75,1.54,320,Clouds
2021-07-08T08:15:19.000Z,3.81,989,20,0,0,Clouds
2021-07-08T12:15:14.000Z,3.81,991,40,5.14,360,Clouds
2021-07-08T16:15:19.000Z,4.81,992,40,8.23,360,Clouds
2021-07-08T20:15:12.000Z,6.81,988,40,3.09,20,Clouds
2021-07-09T00:15:18.000Z,7.81,986,75,7.72,360,Clouds
2021-07-09T04:15:16.000Z,2.69,988,100,4.31,2,Clouds
2021-07-09T08:15:18.000Z,3.81,987,40,1.54,90,Clouds
2021-07-09T12:15:18.000Z,3.81,988,40,2.57,320,Clouds
2021-07-09T16:15:22.000Z,1.81,988,40,3.09,320,Clouds
2021-07-09T20:15:27.000Z,1.81,989,0,1.03,270,Clear
2021-07-10T00:15:17.000Z,1.81,990,0,0,0,Clear
2021-07-10T04:15:16.000Z,1.81,990,0,2.57,340,Clear
2021-07-10T08:15:15.000Z,-0.19,988,0,1.54,50,Clear
2021-07-10T12:15:16.000Z,0.81,984,40,3.09,90,Clouds
2021-07-10T16:15:15.000Z,4.81,977,75,4.63,360,Clouds
2021-07-10T20:15:21.000Z,2.81,975,75,10.8,230,Rain
2021-07-11T00:15:27.000Z,1.81,976,40,12.35,230,Clouds
2021-07-11T04:15:18.000Z,1.81,976,75,6.17,290,Rain
2021-07-11T08:15:17.000Z,2.81,976,40,9.26,230,Clouds
2021-07-11T12:15:20.000Z,1.81,977,40,8.75,230,Clouds
2021-07-11T16:15:23.000Z,0.81,979,75,6.17,230,Snow
2021-07-11T20:15:14.000Z,1.81,974,75,3.09,50,Rain
2021-07-12T00:15:18.000Z,0.81,974,40,9.77,230,Snow
2021-07-12T04:15:19.000Z,0.81,977,40,2.57,200,Snow
2021-07-12T08:15:18.000Z,0.81,980,75,2.06,270,Snow
2021-07-12T12:15:19.000Z,-0.19,980,90,3.6,290,Snow
2021-07-12T16:15:20.000Z,0.81,984,90,6.17,230,Snow
2021-07-12T20:15:19.000Z,0.81,985,90,4.63,250,Snow
2021-07-13T00:15:26.000Z,-0.19,988,90,6.17,250,Snow
2021-07-13T04:15:19.000Z,0.65,993,100,4.63,236,Snow
2021-07-13T08:15:17.000Z,0.81,999,75,9.77,230,Snow
2021-07-13T12:15:24.000Z,0.81,1003,75,7.2,230,Snow
2021-07-13T16:15:19.000Z,1.81,1007,75,5.14,230,Clouds
2021-07-13T20:15:25.000Z,1.81,1009,75,6.17,230,Clouds
2021-07-14T00:15:16.000Z,-0.21,1013,12,1.25,335,Clouds
2021-07-14T04:15:20.000Z,-5.99,1014,52,1.76,337,Clouds
2021-07-14T08:15:17.000Z,-1.19,1012,0,3.6,320,Clear
2021-07-14T12:15:14.000Z,-2.19,1011,20,1.54,360,Clouds
2021-07-14T16:15:25.000Z,-3.21,1012,100,2.11,350,Clouds
2021-07-14T20:15:19.000Z,-0.19,1010,40,1.54,340,Clouds
2021-07-15T00:15:22.000Z,-1.19,1009,40,2.57,270,Clouds
2021-07-15T04:15:32.000Z,-2.19,1009,75,1.54,270,Clouds
2021-07-15T08:15:16.000Z,-0.19,1009,75,1.03,300,Snow
2021-07-15T12:15:15.000Z,-1.19,1008,90,2.57,10,Snow
2021-07-15T16:15:20.000Z,-1.19,1007,90,2.06,360,Snow
2021-07-15T20:15:18.000Z,-0.19,1006,75,2.06,360,Snow
2021-07-16T00:15:20.000Z,-0.19,1005,75,4.12,360,Snow
2021-07-16T04:15:17.000Z,0.81,1005,90,13.38,90,Snow
2021-07-16T08:15:14.000Z,0.81,1005,75,9.77,70,Clouds
2021-07-16T12:15:18.000Z,-0.19,1006,75,7.72,70,Clouds
2021-07-16T16:15:24.000Z,-1.19,1008,75,2.57,360,Clouds
2021-07-16T20:15:17.000Z,-0.19,1010,20,2.06,320,Clouds
2021-07-17T00:15:24.000Z,-0.19,1013,20,1.54,320,Clouds
2021-07-17T04:15:16.000Z,-0.19,1015,20,3.09,340,Clouds
2021-07-17T08:15:19.000Z,-1.19,1018,0,3.6,340,Clear
2021-07-17T12:15:22.000Z,-3.19,1019,0,2.06,320,Clear
2021-07-17T16:15:22.000Z,1.81,1020,20,2.57,320,Clouds
2021-07-17T20:15:20.000Z,0.81,1018,75,1.03,300,Clouds
2021-07-18T00:15:23.000Z,0.81,1016,0,1.03,0,Clear
2021-07-18T04:15:19.000Z,3.81,1014,40,5.14,320,Clouds
2021-07-18T08:15:15.000Z,3.81,1009,75,6.69,20,Clouds
2021-07-18T12:15:23.000Z,4.81,1005,90,7.2,360,Clouds
2021-07-18T16:15:17.000Z,1.68,1002,100,4.57,357,Clouds
2021-07-18T20:15:15.000Z,3.81,993,75,2.57,250,"Drizzle, Rain"
2021-07-19T00:15:21.000Z,4.81,988,40,3.6,140,Clouds
2021-07-19T04:15:17.000Z,6.81,986,40,6.17,320,Clouds
2021-07-19T08:15:24.000Z,6.81,986,75,3.6,270,Clouds
2021-07-19T12:15:18.000Z,4.81,988,90,2.06,0,Drizzle
2021-07-19T16:15:33.000Z,4.81,990,40,0,0,Rain
2021-07-19T20:15:21.000Z,3.62,992,99,1.53,329,Rain
2021-07-20T00:15:27.000Z,1.93,992,77,2.42,344,Clouds
2021-07-20T04:15:23.000Z,3.81,990,20,1.03,230,Clouds
2021-07-20T08:15:26.000Z,0.97,993,82,0.37,271,Rain
2021-07-20T12:15:17.000Z,1.81,997,90,0,0,Rain
2021-07-20T16:15:22.000Z,0.47,1002,98,2.73,172,Snow
2021-07-20T20:15:32.000Z,1.81,1004,75,2.57,230,Clouds
2021-07-21T00:15:18.000Z,1.81,1006,75,5.66,230,Clouds
2021-07-21T04:15:19.000Z,0.81,1009,75,3.6,290,Clouds
2021-07-21T08:15:21.000Z,0.81,1010,75,4.63,270,Clouds
2021-07-21T12:15:19.000Z,-1.19,1009,40,5.66,320,Clouds
2021-07-21T16:15:23.000Z,-2.09,1010,15,2.23,1,Clouds
2021-07-21T20:15:17.000Z,0.48,1007,47,3.12,1,Clouds
2021-07-22T00:15:20.000Z,0.81,1002,75,2.57,320,Clouds
2021-07-22T04:15:19.000Z,1.02,1001,100,3.87,358,Rain
2021-07-22T08:15:22.000Z,2.81,998,0,5.14,360,Clear
