datetime,temperature,pressure,humidity,wind_speed,wind_deg,summary
2021-07-04T08:10:46.000Z,20.11,1012,37,1.34,230,Clouds
2021-07-04T08:15:13.000Z,19.16,1012,42,0.45,229,Clouds
2021-07-04T12:15:20.000Z,16.94,1013,1,4.02,280,Clear
2021-07-04T16:15:13.000Z,15.74,1013,0,1.34,357,Clear
2021-07-04T20:15:15.000Z,21.57,1014,0,2.24,309,Clear
2021-07-05T00:15:19.000Z,25.07,1014,13,1.79,203,Clouds
2021-07-05T04:15:15.000Z,24.82,1012,100,2.24,12,Clouds
2021-07-05T08:15:15.000Z,20.45,1013,100,0.89,100,Clouds
2021-07-05T12:15:19.000Z,18.47,1014,99,0.45,142,Clouds
2021-07-05T16:15:13.000Z,16.47,1015,100,0.45,119,Clouds
2021-07-05T20:15:16.000Z,20.53,1016,46,1.79,123,Clouds
2021-07-06T00:15:18.000Z,23.52,1016,0,1.34,118,Clear
2021-07-06T04:15:19.000Z,23.94,1015,43,1.34,127,Clouds
2021-07-06T08:15:15.000Z,19.04,1016,56,0.89,95,Clouds
2021-07-06T12:15:19.000Z,16.52,1016,13,0.89,96,Clouds
2021-07-06T16:15:16.000Z,14.55,1017,17,0.45,105,Clouds
2021-07-06T20:15:15.000Z,21.26,1015,37,0.89,358,Clouds
2021-07-07T00:15:19.000Z,25.58,1014,25,3.13,346,Clouds
2021-07-07T04:15:10.000Z,26.68,1011,41,1.79,310,Clouds
2021-07-07T08:15:13.000Z,20.25,1011,62,1.34,23,Clouds
2021-07-07T12:15:19.000Z,17.82,1011,100,0.45,105,Clouds
2021-07-07T16:15:16.000Z,15.7,1012,8,1.34,117,Clear
2021-07-07T20:15:17.000Z,17.49,1014,62,4.47,100,Clouds
2021-07-08T00:15:18.000Z,20.64,1015,100,4.02,111,Clouds
2021-07-08T04:15:21.000Z,20.05,1014,97,2.68,104,Clouds
2021-07-08T08:15:16.000Z,16.72,1015,92,1.79,107,Clouds
2021-07-08T12:15:12.000Z,15.45,1015,87,1.34,81,Clouds
2021-07-08T16:15:16.000Z,14.62,1015,7,1.34,108,Clear
2021-07-08T20:15:10.000Z,16.98,1016,16,1.34,131,Clouds
2021-07-09T00:15:15.000Z,20.97,1016,78,1.79,237,Clouds
2021-07-09T04:15:14.000Z,21.58,1014,84,2.24,173,Clouds
2021-07-09T08:15:15.000Z,18.32,1016,81,1.79,106,Clouds
2021-07-09T12:15:16.000Z,16.79,1017,7,4.02,100,Clear
