datetime,temperature,pressure,humidity,wind_speed,wind_deg,summary
2021-07-04T08:10:38.000Z,10.27,1034,7,6.17,360,Clear
2021-07-04T08:15:03.000Z,9.22,1034,6,6.69,360,Clear
2021-07-04T12:15:06.000Z,9.02,1034,75,0.45,19,Clouds
2021-07-04T16:15:05.000Z,9.33,1033,75,0.89,360,Clouds
2021-07-04T20:15:05.000Z,9.5,1031,75,1.34,354,Clouds
2021-07-05T00:15:06.000Z,9.92,1030,26,1.34,12,Clouds
2021-07-05T04:15:04.000Z,10.82,1029,90,1.79,15,Clouds
2021-07-05T08:15:05.000Z,11.17,1026,75,2.24,17,Clouds
2021-07-05T12:15:05.000Z,11.37,1026,97,1.34,359,Clouds
2021-07-05T16:15:05.000Z,9.58,1023,40,1.79,15,Clouds
2021-07-05T20:15:05.000Z,9.43,1020,75,1.34,3,Clouds
2021-07-06T00:15:06.000Z,10.01,1018,75,1.34,3,Clouds
2021-07-06T04:15:06.000Z,11.73,1013,90,1.34,62,Clouds
2021-07-06T08:15:04.000Z,12.69,1008,90,2.24,3,Clouds
2021-07-06T12:15:06.000Z,13.14,1005,75,2.24,18,Clouds
2021-07-06T16:15:05.000Z,11.88,1002,75,1.79,348,Haze
2021-07-06T20:15:05.000Z,12.03,1001,75,1.34,174,Clouds
2021-07-07T00:15:07.000Z,12.68,1003,100,0.45,284,Clouds
2021-07-07T04:15:03.000Z,14.31,1005,82,0.45,21,Clouds
2021-07-07T08:15:04.000Z,10.9,1006,20,0.45,201,Clouds
2021-07-07T12:15:06.000Z,9.86,1007,90,5.66,150,Clouds
2021-07-07T16:15:05.000Z,9.58,1006,75,4.63,150,Clouds
2021-07-07T20:15:06.000Z,7.04,1004,46,1.4,308,Clouds
2021-07-08T00:15:06.000Z,6.86,1003,13,1.03,60,Clouds
2021-07-08T04:15:06.000Z,11.24,1004,1,1.54,140,Clear
2021-07-08T08:15:05.000Z,9.38,1003,1,2.06,290,Clear
2021-07-08T12:15:04.000Z,5.18,1006,75,2.06,30,Clouds
2021-07-08T16:15:05.000Z,5.46,1008,75,1.03,20,Clouds
2021-07-08T20:15:04.000Z,5.85,1007,75,1.54,40,Clouds
2021-07-09T00:15:06.000Z,5.62,1008,84,2.57,30,Clouds
2021-07-09T04:15:06.000Z,11.44,1004,3,0.45,213,Clear
2021-07-09T08:15:05.000Z,10.47,1001,10,5.14,10,Clear
2021-07-09T12:15:05.000Z,9.73,1002,2,0.45,269,Clear
2021-07-09T16:15:07.000Z,7.63,1005,16,1.54,240,Clouds
2021-07-09T20:15:07.000Z,7.14,1007,90,8.75,170,Clouds
2021-07-10T00:15:05.000Z,6.96,1009,90,4.12,160,Clouds
2021-07-10T04:15:05.000Z,9.09,1007,75,3.6,360,Clouds
2021-07-10T08:15:04.000Z,9.58,1006,75,0.89,1,Clouds
2021-07-10T12:15:05.000Z,6.73,1009,6,0.51,290,Clear
2021-07-10T16:15:05.000Z,7.4,1012,20,1.34,130,Clouds
2021-07-10T20:15:06.000Z,6.93,1012,53,1.34,208,Clouds
2021-07-11T00:15:07.000Z,6.26,1015,99,0.45,136,Clouds
2021-07-11T04:15:05.000Z,8.29,1016,75,0.89,215,Clouds
2021-07-11T08:15:05.000Z,7.87,1016,75,0.89,205,Clouds
2021-07-11T12:15:06.000Z,7.14,1016,75,0.45,121,Clouds
2021-07-11T16:15:08.000Z,6.08,1017,90,2.06,340,Clouds
2021-07-11T20:15:04.000Z,4.38,1018,75,1.54,20,Clouds
2021-07-12T00:15:05.000Z,3.81,1017,100,1.03,60,Clouds
2021-07-12T04:15:05.000Z,9.4,1012,100,2.57,210,Clouds
2021-07-12T08:15:04.000Z,7.94,1010,100,2.57,80,Clouds
2021-07-12T12:15:05.000Z,4.81,1013,20,1.54,60,Clouds
2021-07-12T16:15:07.000Z,3.2,1012,99,1.03,40,Clouds
2021-07-12T20:15:09.000Z,3.93,1012,75,1.54,150,Clouds
2021-07-13T00:15:06.000Z,6.81,1013,90,4.12,120,Clouds
2021-07-13T04:15:05.000Z,8.35,1010,75,0.45,213,Clouds
2021-07-13T08:15:05.000Z,7.98,1010,49,7.2,180,Clouds
2021-07-13T12:15:05.000Z,6.31,1015,20,6.69,160,Rain
2021-07-13T16:15:06.000Z,4.81,1017,17,2.06,40,Clouds
2021-07-13T20:15:07.000Z,3.81,1017,10,3.09,10,Clear
2021-07-14T00:15:05.000Z,6.33,1017,90,0.89,14,Clouds
2021-07-14T04:15:07.000Z,10.35,1012,75,1.34,7,Clouds
2021-07-14T08:15:06.000Z,10.05,1010,8,1.34,9,Clear
2021-07-14T12:15:04.000Z,10.33,1011,0,1.79,13,Clear
2021-07-14T16:15:07.000Z,10.69,1011,6,0.45,269,Clear
2021-07-14T20:15:06.000Z,11.5,1011,31,0.89,15,Clouds
2021-07-15T00:15:07.000Z,12.72,1012,95,1.34,2,Clouds
2021-07-15T04:15:08.000Z,13.12,1012,75,2.24,1,Clouds
2021-07-15T08:15:05.000Z,13.52,1013,75,1.79,13,Clouds
