datetime,temperature,pressure,humidity,wind_speed,wind_deg,summary
2021-07-04T08:10:49.000Z,28.98,1002,20,2,110,Smoke
2021-07-04T08:15:17.000Z,28.98,1002,20,2,140,Smoke
2021-07-04T12:15:26.000Z,29.98,1000,20,5,290,Smoke
2021-07-04T16:15:16.000Z,25.98,1000,20,2,280,"Smoke, Rain"
2021-07-04T20:15:19.000Z,22.98,1001,20,2,330,Smoke
2021-07-05T00:15:24.000Z,18.98,1002,40,3,260,"Smoke, Rain"
2021-07-05T04:15:19.000Z,24.98,1003,21,4,230,Smoke
2021-07-05T08:15:19.000Z,28.98,1002,49,4,240,Smoke
2021-07-05T12:15:24.000Z,27.98,1001,20,4,280,Smoke
2021-07-05T16:15:17.000Z,23.98,1002,20,2,240,Smoke
2021-07-05T20:15:19.000Z,17.98,1003,20,1,180,Smoke
2021-07-06T00:15:22.000Z,17.98,1003,20,3,300,Smoke
2021-07-06T04:15:24.000Z,20.98,1004,40,1,340,Clouds
2021-07-06T08:15:19.000Z,21.98,1004,20,4,170,"Smoke, Rain"
2021-07-06T12:15:24.000Z,20.98,1003,40,5,160,Smoke
2021-07-06T16:15:20.000Z,18.98,1004,20,2,130,Smoke
2021-07-06T20:15:18.000Z,14.98,1005,20,0,0,Smoke
2021-07-07T00:15:23.000Z,15.98,1006,11,2,300,Smoke
2021-07-07T04:15:13.000Z,22.98,1006,6,3,130,Smoke
2021-07-07T08:15:17.000Z,28.98,1005,0,4,130,Clear
2021-07-07T12:15:24.000Z,28.98,1003,90,3,170,Smoke
2021-07-07T16:15:20.000Z,23.98,1003,90,3,150,Smoke
2021-07-07T20:15:21.000Z,20.98,1003,0,3,150,Clear
2021-07-08T00:15:23.000Z,19.98,1003,0,3,170,Clear
2021-07-08T04:15:26.000Z,24.98,1003,9,4,180,Smoke
2021-07-08T08:15:20.000Z,29.98,1002,0,5,150,Clear
2021-07-08T12:15:15.000Z,28.98,1000,0,4,150,Clear
2021-07-08T16:15:20.000Z,25.98,999,6,3,110,Smoke
2021-07-08T20:15:13.000Z,20.98,998,2,2,120,Smoke
2021-07-09T00:15:19.000Z,20.98,997,20,3,130,Clouds
2021-07-09T04:15:17.000Z,25.98,995,0,5,150,Clear
2021-07-09T08:15:19.000Z,27.98,995,20,4,220,Clouds
2021-07-09T12:15:19.000Z,26.98,996,40,1,280,Smoke
2021-07-09T16:15:23.000Z,23.98,997,40,2,300,Smoke
2021-07-09T20:15:29.000Z,19.98,997,40,2,300,Smoke
2021-07-10T00:15:18.000Z,19.98,999,40,5,330,Smoke
2021-07-10T04:15:17.000Z,14.98,1001,40,5,290,"Rain, Smoke"
